,round,homeTeam,awayTeam,homeScore,awayScore,matchId,url
8,14,Olympique Lyonnais,Nantes,3,0,14064428,https://www.sofascore.com/api/v1/event/14064428/shotmap
0,15,Stade Brestois,AS Monaco,1,0,14064436,https://www.sofascore.com/api/v1/event/14064436/shotmap
1,15,Lille,Olympique de Marseille,1,0,14064427,https://www.sofascore.com/api/v1/event/14064427/shotmap
2,15,Nantes,RC Lens,1,2,14064431,https://www.sofascore.com/api/v1/event/14064431/shotmap
3,15,Toulouse,RC Strasbourg,1,0,14064434,https://www.sofascore.com/api/v1/event/14064434/shotmap
4,15,Paris Saint-Germain,Stade Rennais,5,0,14064445,https://www.sofascore.com/api/v1/event/14064445/shotmap
5,15,Nice,Angers,0,1,14064432,https://www.sofascore.com/api/v1/event/14064432/shotmap
6,15,Auxerre,Metz,3,1,14064422,https://www.sofascore.com/api/v1/event/14064422/shotmap
7,15,Le Havre,Paris FC,0,0,14064417,https://www.sofascore.com/api/v1/event/14064417/shotmap
8,15,Lorient,Olympique Lyonnais,1,0,14064435,https://www.sofascore.com/api/v1/event/14064435/shotmap
0,16,Angers,Nantes,4,1,14064439,https://www.sofascore.com/api/v1/event/14064439/shotmap
1,16,Stade Rennais,Stade Brestois,3,1,14064440,https://www.sofascore.com/api/v1/event/14064440/shotmap
2,16,Metz,Paris Saint-Germain,2,3,14064442,https://www.sofascore.com/api/v1/event/14064442/shotmap
3,16,Paris FC,Toulouse,0,3,14064443,https://www.sofascore.com/api/v1/event/14064443/shotmap
4,16,Olympique Lyonnais,Le Havre,1,0,14064441,https://www.sofascore.com/api/v1/event/14064441/shotmap
5,16,Auxerre,Lille,3,4,14064437,https://www.sofascore.com/api/v1/event/14064437/shotmap
6,16,RC Lens,Nice,2,0,14064446,https://www.sofascore.com/api/v1/event/14064446/shotmap
7,16,RC Strasbourg,Lorient,0,0,14064444,https://www.sofascore.com/api/v1/event/14064444/shotmap
8,16,Olympique de Marseille,AS Monaco,1,0,14064438,https://www.sofascore.com/api/v1/event/14064438/shotmap
