season,round,game_index,date,home_team,away_team,home_score,away_score
26,12,3,22/11/2025,SSC Napoli,Atalanta,3,1
26,12,4,23/11/2025,Hellas Verona,Parma,1,2
26,12,5,23/11/2025,Cremonese,AS Roma,1,3
26,12,6,23/11/2025,Lazio,Lecce,2,0
26,12,7,23/11/2025,Inter,AC Milan,0,1
26,12,8,24/11/2025,Torino,Como,1,5
26,12,9,24/11/2025,Sassuolo,Pisa,2,2
26,13,0,28/11/2025,Como,Sassuolo,2,0
26,13,1,29/11/2025,Genoa,Hellas Verona,2,1
26,13,2,29/11/2025,Parma,Udinese,0,2
26,13,3,29/11/2025,Juventus,Cagliari,2,1
26,13,4,29/11/2025,AC Milan,Lazio,1,0
26,13,5,30/11/2025,Lecce,Torino,2,1
26,13,6,30/11/2025,Pisa,Inter,0,2
26,13,7,30/11/2025,Atalanta,Fiorentina,2,0
26,13,8,30/11/2025,AS Roma,SSC Napoli,0,1
26,13,9,01/12/2025,Bologna,Cremonese,1,3
26,14,0,06/12/2025,Sassuolo,Fiorentina,3,1
26,14,1,06/12/2025,Inter,Como,4,0
26,14,2,06/12/2025,Hellas Verona,Atalanta,3,1
26,14,3,07/12/2025,Cremonese,Lecce,2,0
26,14,4,07/12/2025,Cagliari,AS Roma,1,0
26,14,5,07/12/2025,Lazio,Bologna,1,1
26,14,6,07/12/2025,SSC Napoli,Juventus,2,1
26,14,7,08/12/2025,Pisa,Parma,0,1
26,14,8,08/12/2025,Udinese,Genoa,1,2
26,14,9,08/12/2025,Torino,AC Milan,2,3
26,15,0,12/12/2025,Lecce,Pisa,1,0
26,15,1,13/12/2025,Torino,Cremonese,1,0
26,15,2,13/12/2025,Parma,Lazio,0,1
26,15,3,13/12/2025,Atalanta,Cagliari,2,1
26,15,4,14/12/2025,AC Milan,Sassuolo,2,2
26,15,5,14/12/2025,Fiorentina,Hellas Verona,1,2
26,15,6,14/12/2025,Udinese,SSC Napoli,1,0
26,15,7,14/12/2025,Genoa,Inter,1,2
26,15,8,14/12/2025,Bologna,Juventus,0,1
26,15,9,15/12/2025,AS Roma,Como,1,0
26,16,0,20/12/2025,Lazio,Cremonese,0,0
26,16,1,20/12/2025,Juventus,AS Roma,2,1
26,16,2,21/12/2025,Cagliari,Pisa,2,2
26,16,7,21/12/2025,Sassuolo,Torino,0,1
26,16,8,21/12/2025,Fiorentina,Udinese,5,1
26,16,9,21/12/2025,Genoa,Atalanta,0,1
26,16,10,14/01/2026,SSC Napoli,Parma,0,0
26,16,11,14/01/2026,Inter,Lecce,1,0
26,16,12,15/01/2026,Hellas Verona,Bologna,2,3
26,16,13,15/01/2026,Como,AC Milan,1,3
26,17,0,27/12/2025,Parma,Fiorentina,1,0
26,17,1,27/12/2025,Lecce,Como,0,3
26,17,2,27/12/2025,Torino,Cagliari,1,2
26,17,3,27/12/2025,Udinese,Lazio,1,1
26,17,4,27/12/2025,Pisa,Juventus,0,2
26,17,5,28/12/2025,AC Milan,Hellas Verona,3,0
26,17,6,28/12/2025,Cremonese,SSC Napoli,0,2
26,17,7,28/12/2025,Bologna,Sassuolo,1,1
26,17,8,28/12/2025,Atalanta,Inter,0,1
26,17,9,29/12/2025,AS Roma,Genoa,3,1
26,18,0,02/01/2026,Cagliari,AC Milan,0,1
26,18,1,03/01/2026,Como,Udinese,1,0
26,18,2,03/01/2026,Genoa,Pisa,1,1
26,18,3,03/01/2026,Sassuolo,Parma,1,1
26,18,4,03/01/2026,Juventus,Lecce,1,1
26,18,5,03/01/2026,Atalanta,AS Roma,1,0
26,18,6,04/01/2026,Lazio,SSC Napoli,0,2
26,18,7,04/01/2026,Fiorentina,Cremonese,1,0
26,18,8,04/01/2026,Hellas Verona,Torino,0,3
26,18,9,04/01/2026,Inter,Bologna,3,1
26,19,0,06/01/2026,Pisa,Como,0,3
26,19,1,06/01/2026,Lecce,AS Roma,0,2
26,19,2,06/01/2026,Sassuolo,Juventus,0,3
26,19,3,07/01/2026,Bologna,Atalanta,0,2
26,19,4,07/01/2026,SSC Napoli,Hellas Verona,2,2
26,19,5,07/01/2026,Lazio,Fiorentina,2,2
26,19,6,07/01/2026,Parma,Inter,0,2
26,19,7,07/01/2026,Torino,Udinese,1,2
26,19,8,08/01/2026,Cremonese,Cagliari,2,2
26,19,9,08/01/2026,AC Milan,Genoa,1,1
26,20,0,10/01/2026,Como,Bologna,1,1
26,20,1,10/01/2026,Udinese,Pisa,2,2
26,20,2,10/01/2026,AS Roma,Sassuolo,2,0
26,20,3,10/01/2026,Atalanta,Torino,2,0
26,20,4,11/01/2026,Lecce,Parma,1,2
26,20,5,11/01/2026,Fiorentina,AC Milan,1,1
26,20,6,11/01/2026,Hellas Verona,Lazio,0,1
26,20,7,11/01/2026,Inter,SSC Napoli,2,2
26,20,8,12/01/2026,Genoa,Cagliari,3,0
26,20,9,12/01/2026,Juventus,Cremonese,5,0
26,21,0,16/01/2026,Pisa,Atalanta,1,1
26,21,1,17/01/2026,Udinese,Inter,0,1
26,21,2,17/01/2026,SSC Napoli,Sassuolo,1,0
26,21,3,17/01/2026,Cagliari,Juventus,1,0
26,21,4,18/01/2026,Parma,Genoa,0,0
26,21,5,18/01/2026,Bologna,Fiorentina,1,2
26,21,6,18/01/2026,Torino,AS Roma,0,2
26,21,7,18/01/2026,AC Milan,Lecce,1,0
26,21,8,19/01/2026,Cremonese,Hellas Verona,0,0
26,21,9,19/01/2026,Lazio,Como,0,3
26,22,0,23/01/2026,Inter,Pisa,6,2
26,22,1,24/01/2026,Como,Torino,6,0
26,22,2,24/01/2026,Fiorentina,Cagliari,1,2
26,22,3,24/01/2026,Lecce,Lazio,0,0
