round,game_index,date,home_team,away_team,minute,team,teamId,isHome,eloTeam,player,playerId,position,rating,keeper,keeperRating,opponent,eloOpponent,x,y,distance,angle,goal_difference,situation,body_part,goal,xg
1,0,19/08/2023,Empoli,Hellas Verona,8,Empoli,2705,True,1477,Răzvan Marin,279563,M,74,Lorenzo Montipò,77,Hellas Verona,1397,20.5,30.3,24,33,0,assisted,strongFoot,0,0.027439260855317
1,0,19/08/2023,Empoli,Hellas Verona,11,Empoli,2705,True,1477,Matteo Cancellieri,1017649,F,69,Lorenzo Montipò,77,Hellas Verona,1397,27.5,48.4,27,2,0,assisted,strongFoot,0,0.019431360065937
1,0,19/08/2023,Empoli,Hellas Verona,13,Empoli,2705,True,1477,Francesco Caputo,43905,F,77,Lorenzo Montipò,77,Hellas Verona,1397,6.4,31.8,13,62,0,regular,strongFoot,0,0.042384926229715
1,0,19/08/2023,Empoli,Hellas Verona,13,Empoli,2705,True,1477,Matteo Cancellieri,1017649,F,69,Lorenzo Montipò,77,Hellas Verona,1397,8.4,64.8,13,50,0,regular,weakFoot,0,0.058465469628572
1,0,19/08/2023,Empoli,Hellas Verona,17,Hellas Verona,2701,False,1397,Josh Doig,989276,D,61,Elia Caprile,72,Empoli,1477,22.7,25.3,28,36,0,assisted,strongFoot,0,0.015716789290309
1,0,19/08/2023,Empoli,Hellas Verona,30,Hellas Verona,2701,False,1397,Jordi Mboula,826003,M,69,Elia Caprile,72,Empoli,1477,23.2,65.7,25,24,0,assisted,weakFoot,0,0.014667375944555
1,0,19/08/2023,Empoli,Hellas Verona,41,Hellas Verona,2701,False,1397,Cyril Ngonge,877037,F,70,Elia Caprile,72,Empoli,1477,8.8,59.0,10,34,0,assisted,strongFoot,0,0.1415589004755
1,0,19/08/2023,Empoli,Hellas Verona,42,Empoli,2705,True,1477,Emmanuel Gyasi,541578,M,61,Lorenzo Montipò,77,Hellas Verona,1397,8.5,43.1,9,28,0,assisted,strongFoot,0,0.34548404812813
1,0,19/08/2023,Empoli,Hellas Verona,45,Empoli,2705,True,1477,Răzvan Marin,279563,M,74,Lorenzo Montipò,77,Hellas Verona,1397,24.9,26.4,29,32,0,free-kick,strongFoot,0,0.036707315593958
1,0,19/08/2023,Empoli,Hellas Verona,56,Hellas Verona,2701,False,1397,Cyril Ngonge,877037,F,70,Elia Caprile,72,Empoli,1477,12.5,65.1,16,39,0,assisted,strongFoot,0,0.03805797919631
