,round,game_index,date,home_team,away_team,minute,team,teamId,isHome,eloTeam,player,playerId,position,rating,keeper,keeperRating,opponent,eloOpponent,x,y,distance,angle,goal_difference,situation,body_part,goal,xg
29,1,0,17/08/2024,Genoa,Inter,7,Inter,2697,False,1929,Marcus Thuram,791702,F,80,Pierluigi Gollini,76,Genoa,1444,15.0,42.7,15,18,0,fast-break,strongFoot,0,0.084229491651058
28,1,0,17/08/2024,Genoa,Inter,12,Inter,2697,False,1929,Yann Bisseck,906275,D,53,Pierluigi Gollini,76,Genoa,1444,10.2,45.2,10,17,0,corner,head,0,0.029343703761697
27,1,0,17/08/2024,Genoa,Inter,15,Inter,2697,False,1929,Hakan Çalhanoğlu,135700,M,80,Pierluigi Gollini,76,Genoa,1444,23.7,32.3,26,26,0,assisted,strongFoot,0,0.020883893594146
26,1,0,17/08/2024,Genoa,Inter,18,Genoa,2713,True,1444,Vitinha,1093695,F,74,Yann Sommer,87,Inter,1929,14.7,41.9,15,20,0,assisted,strongFoot,0,0.097954474389553
25,1,0,17/08/2024,Genoa,Inter,20,Genoa,2713,True,1444,Mattia Bani,250547,D,19,Yann Sommer,87,Inter,1929,13.8,52.9,13,8,0,set-piece,head,0,0.012957536615431
24,1,0,17/08/2024,Genoa,Inter,20,Genoa,2713,True,1444,Alessandro Vogliacco,807295,D,35,Yann Sommer,87,Inter,1929,3.6,50.1,3,1,0,set-piece,strongFoot,1,0.69364845752716
23,1,0,17/08/2024,Genoa,Inter,30,Inter,2697,False,1929,Marcus Thuram,791702,F,80,Pierluigi Gollini,76,Genoa,1444,8.1,53.0,8,14,-1,assisted,head,1,0.087449349462986
22,1,0,17/08/2024,Genoa,Inter,31,Inter,2697,False,1929,Marcus Thuram,791702,F,80,Pierluigi Gollini,76,Genoa,1444,9.4,71.1,17,56,0,assisted,strongFoot,0,0.041109126061201
21,1,0,17/08/2024,Genoa,Inter,40,Inter,2697,False,1929,Yann Bisseck,906275,D,53,Pierluigi Gollini,76,Genoa,1444,8.8,61.7,11,42,0,regular,strongFoot,0,0.11743884533644
20,1,0,17/08/2024,Genoa,Inter,40,Inter,2697,False,1929,Lautaro Martínez,823984,F,88,Pierluigi Gollini,76,Genoa,1444,7.1,51.1,7,6,0,regular,strongFoot,0,0.32135167717934
19,1,0,17/08/2024,Genoa,Inter,40,Inter,2697,False,1929,Federico Dimarco,284361,M,76,Pierluigi Gollini,76,Genoa,1444,7.9,33.4,13,55,0,regular,strongFoot,0,0.16042383015156
18,1,0,17/08/2024,Genoa,Inter,40,Inter,2697,False,1929,Yann Bisseck,906275,D,53,Pierluigi Gollini,76,Genoa,1444,8.3,47.0,8,13,0,corner,head,0,0.069950848817825
17,1,0,17/08/2024,Genoa,Inter,50,Genoa,2713,True,1444,Milan Badelj,39482,M,61,Yann Sommer,87,Inter,1929,11.8,44.9,12,16,0,assisted,weakFoot,0,0.14115506410599
16,1,0,17/08/2024,Genoa,Inter,59,Inter,2697,False,1929,Marcus Thuram,791702,F,80,Pierluigi Gollini,76,Genoa,1444,7.9,62.5,11,47,0,regular,strongFoot,0,0.079329453408718
15,1,0,17/08/2024,Genoa,Inter,62,Genoa,2713,True,1444,Morten Frendrup,918440,M,58,Yann Sommer,87,Inter,1929,28.5,64.8,30,19,0,regular,strongFoot,0,0.023243030533195
14,1,0,17/08/2024,Genoa,Inter,63,Inter,2697,False,1929,Henrikh Mkhitaryan,37151,M,78,Pierluigi Gollini,76,Genoa,1444,18.5,42.6,19,15,0,assisted,strongFoot,0,0.074646286666393
13,1,0,17/08/2024,Genoa,Inter,64,Genoa,2713,True,1444,Ruslan Malinovskyi,195850,M,79,Yann Sommer,87,Inter,1929,27.4,60.5,28,14,0,set-piece,strongFoot,0,0.0080036791041493
12,1,0,17/08/2024,Genoa,Inter,68,Inter,2697,False,1929,Federico Dimarco,284361,M,76,Pierluigi Gollini,76,Genoa,1444,5.1,32.8,12,66,0,assisted,strongFoot,0,0.032025653868914
11,1,0,17/08/2024,Genoa,Inter,72,Inter,2697,False,1929,Nicolò Barella,363856,M,77,Pierluigi Gollini,76,Genoa,1444,20.3,66.8,23,29,0,regular,strongFoot,0,0.013666692189872
10,1,0,17/08/2024,Genoa,Inter,74,Inter,2697,False,1929,Federico Dimarco,284361,M,76,Pierluigi Gollini,76,Genoa,1444,20.4,65.8,23,27,0,free-kick,strongFoot,0,0.070550978183746
9,1,0,17/08/2024,Genoa,Inter,75,Inter,2697,False,1929,Davide Frattesi,835600,M,74,Pierluigi Gollini,76,Genoa,1444,8.7,46.7,8,14,0,corner,head,0,0.057781748473644
8,1,0,17/08/2024,Genoa,Inter,79,Genoa,2713,True,1444,Stefano Sabelli,184421,M,38,Yann Sommer,87,Inter,1929,12.5,77.1,22,55,0,set-piece,strongFoot,0,0.01209444180131
7,1,0,17/08/2024,Genoa,Inter,80,Genoa,2713,True,1444,Junior Messias,888219,F,72,Yann Sommer,87,Inter,1929,23.9,50.7,23,1,0,assisted,strongFoot,0,0.025550317019224
6,1,0,17/08/2024,Genoa,Inter,81,Genoa,2713,True,1444,Vitinha,1093695,F,74,Yann Sommer,87,Inter,1929,11.9,33.6,16,43,0,regular,strongFoot,0,0.051234807819128
5,1,0,17/08/2024,Genoa,Inter,83,Inter,2697,False,1929,Marcus Thuram,791702,F,80,Pierluigi Gollini,76,Genoa,1444,8.6,55.5,9,23,0,assisted,strongFoot,1,0.47240719199181
4,1,0,17/08/2024,Genoa,Inter,87,Inter,2697,False,1929,Kristjan Asllani,996820,M,60,Pierluigi Gollini,76,Genoa,1444,2.9,60.3,7,67,1,fast-break,strongFoot,0,0.27902156114578
3,1,0,17/08/2024,Genoa,Inter,90,Genoa,2713,True,1444,Morten Thorsby,280991,M,61,Yann Sommer,87,Inter,1929,9.2,51.9,9,7,-1,assisted,head,0,0.069862507283688
2,1,0,17/08/2024,Genoa,Inter,90,Genoa,2713,True,1444,Junior Messias,888219,F,72,Yann Sommer,87,Inter,1929,11.5,50.0,11,0,-1,penalty,strongFoot,0,0.7884
1,1,0,17/08/2024,Genoa,Inter,90,Genoa,2713,True,1444,Junior Messias,888219,F,72,Yann Sommer,87,Inter,1929,6.0,52.3,6,14,-1,set-piece,weakFoot,1,0.72923767566681
0,1,0,17/08/2024,Genoa,Inter,90,Genoa,2713,True,1444,Vitinha,1093695,F,74,Yann Sommer,87,Inter,1929,13.2,18.6,25,58,0,free-kick,strongFoot,0,0.039593737572432
28,1,1,17/08/2024,Parma,Fiorentina,4,Parma,2690,True,1296,Valentin Mihăilă,925242,M,64,Pietro Terracciano,79,Fiorentina,1607,8.3,40.7,10,37,0,regular,strongFoot,0,0.12334737181664
26,1,1,17/08/2024,Parma,Fiorentina,4,Parma,2690,True,1296,Valentin Mihăilă,925242,M,64,Pietro Terracciano,79,Fiorentina,1607,7.5,46.2,7,19,0,regular,weakFoot,0,0.62642621994019
27,1,1,17/08/2024,Parma,Fiorentina,4,Parma,2690,True,1296,Simon Sohm,909991,M,65,Pietro Terracciano,79,Fiorentina,1607,23.7,48.3,23,2,0,assisted,strongFoot,0,0.039952866733074
25,1,1,17/08/2024,Parma,Fiorentina,6,Fiorentina,2693,False,1607,Rolando Mandragora,548178,M,66,Zion Suzuki,71,Parma,1296,26.6,68.6,29,25,0,assisted,strongFoot,0,0.01914120092988
24,1,1,17/08/2024,Parma,Fiorentina,10,Fiorentina,2693,False,1607,Dodô,822518,M,57,Zion Suzuki,71,Parma,1296,10.3,66.8,15,47,0,assisted,head,0,0.016959080472589
23,1,1,17/08/2024,Parma,Fiorentina,10,Fiorentina,2693,False,1607,Lucas Martínez Quarta,795297,D,55,Zion Suzuki,71,Parma,1296,24.8,62.7,26,19,0,assisted,strongFoot,0,0.010551997460425
22,1,1,17/08/2024,Parma,Fiorentina,18,Fiorentina,2693,False,1607,Andrea Colpani,928122,F,75,Zion Suzuki,71,Parma,1296,13.0,55.5,13,16,0,regular,strongFoot,0,0.22322262823582
21,1,1,17/08/2024,Parma,Fiorentina,20,Fiorentina,2693,False,1607,Moise Kean,835601,F,75,Zion Suzuki,71,Parma,1296,19.1,30.4,23,34,0,regular,strongFoot,0,0.017538061365485
20,1,1,17/08/2024,Parma,Fiorentina,23,Parma,2690,True,1296,Dennis Man,812145,M,72,Pietro Terracciano,79,Fiorentina,1607,14.3,62.1,16,29,0,assisted,strongFoot,1,0.11384312063456
19,1,1,17/08/2024,Parma,Fiorentina,25,Fiorentina,2693,False,1607,Cristiano Biraghi,122848,D,67,Zion Suzuki,71,Parma,1296,16.9,27.7,22,41,-1,assisted,strongFoot,0,0.029694201424718
18,1,1,17/08/2024,Parma,Fiorentina,27,Parma,2690,True,1296,Valentin Mihăilă,925242,M,64,Pietro Terracciano,79,Fiorentina,1607,12.3,43.1,13,20,1,assisted,strongFoot,0,0.17020119726658
17,1,1,17/08/2024,Parma,Fiorentina,28,Parma,2690,True,1296,Simon Sohm,909991,M,65,Pietro Terracciano,79,Fiorentina,1607,12.7,53.0,12,9,1,regular,strongFoot,0,0.089945830404758
16,1,1,17/08/2024,Parma,Fiorentina,28,Parma,2690,True,1296,Simon Sohm,909991,M,65,Pietro Terracciano,79,Fiorentina,1607,8.6,64.8,13,49,1,assisted,strongFoot,0,0.29269230365753
15,1,1,17/08/2024,Parma,Fiorentina,29,Parma,2690,True,1296,Dennis Man,812145,M,72,Pietro Terracciano,79,Fiorentina,1607,11.6,67.3,16,45,1,corner,strongFoot,0,0.067529663443565
14,1,1,17/08/2024,Parma,Fiorentina,30,Parma,2690,True,1296,Valentin Mihăilă,925242,M,64,Pietro Terracciano,79,Fiorentina,1607,13.5,30.2,19,44,1,assisted,strongFoot,0,0.036325812339783
13,1,1,17/08/2024,Parma,Fiorentina,36,Parma,2690,True,1296,Nahuel Estévez,895868,M,69,Pietro Terracciano,79,Fiorentina,1607,10.7,30.3,17,51,1,set-piece,strongFoot,0,0.023216791450977
12,1,1,17/08/2024,Parma,Fiorentina,42,Fiorentina,2693,False,1607,Moise Kean,835601,F,75,Zion Suzuki,71,Parma,1296,14.8,50.0,14,0,-1,assisted,weakFoot,0,0.14589340984821
11,1,1,17/08/2024,Parma,Fiorentina,43,Fiorentina,2693,False,1607,Andrea Colpani,928122,F,75,Zion Suzuki,71,Parma,1296,8.8,66.1,14,51,-1,corner,strongFoot,0,0.060167286545038
10,1,1,17/08/2024,Parma,Fiorentina,47,Parma,2690,True,1296,Ange-Yoan Bonny,1086223,F,72,Pietro Terracciano,79,Fiorentina,1607,13.6,62.2,15,31,1,assisted,weakFoot,0,0.038969196379185
9,1,1,17/08/2024,Parma,Fiorentina,54,Parma,2690,True,1296,Adrián Bernabé,934384,M,70,Pietro Terracciano,79,Fiorentina,1607,30.5,53.6,30,4,1,assisted,strongFoot,0,0.011193979531527
8,1,1,17/08/2024,Parma,Fiorentina,56,Fiorentina,2693,False,1607,Andrea Colpani,928122,F,75,Zion Suzuki,71,Parma,1296,20.3,70.5,24,34,-1,assisted,strongFoot,0,0.019433185458183
7,1,1,17/08/2024,Parma,Fiorentina,63,Fiorentina,2693,False,1607,Rolando Mandragora,548178,M,66,Zion Suzuki,71,Parma,1296,24.1,43.5,24,10,-1,assisted,strongFoot,0,0.027268461883068
6,1,1,17/08/2024,Parma,Fiorentina,66,Fiorentina,2693,False,1607,Jonathan Ikoné,802142,F,66,Zion Suzuki,71,Parma,1296,26.8,67.5,29,23,-1,assisted,strongFoot,0,0.014249479398131
5,1,1,17/08/2024,Parma,Fiorentina,68,Fiorentina,2693,False,1607,Rolando Mandragora,548178,M,66,Zion Suzuki,71,Parma,1296,22.8,37.8,24,19,-1,regular,strongFoot,0,0.020743176341057
4,1,1,17/08/2024,Parma,Fiorentina,71,Fiorentina,2693,False,1607,Dodô,822518,M,57,Zion Suzuki,71,Parma,1296,25.1,70.5,28,29,-1,corner,strongFoot,0,0.0058635449968278
