,round,game_index,date,home_team,away_team,minute,team,teamId,isHome,eloTeam,player,playerId,position,rating,keeper,keeperRating,opponent,eloOpponent,x,y,distance,angle,goal_difference,situation,body_part,goal,xg
3,1,1,17/08/2024,Parma,Fiorentina,75,Fiorentina,2693,False,1607,Cristiano Biraghi,122848,D,67,Zion Suzuki,71,Parma,1296,8.3,80.3,22,68,-1,free-kick,strongFoot,1,0.039715502411127
2,1,1,17/08/2024,Parma,Fiorentina,82,Fiorentina,2693,False,1607,Michael Kayode,1137431,D,34,Zion Suzuki,71,Parma,1296,7.4,33.5,13,56,0,regular,weakFoot,0,0.10425501316786
1,1,1,17/08/2024,Parma,Fiorentina,85,Parma,2690,True,1296,Drissa Camara,958167,M,56,Pietro Terracciano,79,Fiorentina,1607,13.6,27.2,20,48,0,assisted,strongFoot,0,0.017329499125481
0,1,1,17/08/2024,Parma,Fiorentina,88,Parma,2690,True,1296,Wylan Cyprien,308054,M,68,Pietro Terracciano,79,Fiorentina,1607,13.2,43.6,13,18,0,throw-in-set-piece,strongFoot,0,0.19509920477867
33,1,2,17/08/2024,AC Milan,Torino,6,AC Milan,2692,True,1741,Rafael Leão,851284,F,78,Vanja Milinković-Savić,77,Torino,1534,7.9,31.1,15,58,0,assisted,weakFoot,0,0.025884130969644
32,1,2,17/08/2024,AC Milan,Torino,7,AC Milan,2692,True,1741,Malick Thiaw,1014286,D,47,Vanja Milinković-Savić,77,Torino,1534,5.8,44.0,7,35,0,corner,head,0,0.087630175054073
31,1,2,17/08/2024,AC Milan,Torino,7,AC Milan,2692,True,1741,Rafael Leão,851284,F,78,Vanja Milinković-Savić,77,Torino,1534,4.4,46.3,5,29,0,corner,strongFoot,0,0.43677657842636
30,1,2,17/08/2024,AC Milan,Torino,15,Torino,2696,False,1534,Duván Zapata,38162,F,81,Mike Maignan,87,AC Milan,1741,21.5,28.6,25,34,0,assisted,strongFoot,0,0.029853558167815
29,1,2,17/08/2024,AC Milan,Torino,18,Torino,2696,False,1534,Duván Zapata,38162,F,81,Mike Maignan,87,AC Milan,1741,18.1,54.2,18,8,0,assisted,strongFoot,0,0.047357127070427
28,1,2,17/08/2024,AC Milan,Torino,21,AC Milan,2692,True,1741,Rafael Leão,851284,F,78,Vanja Milinković-Savić,77,Torino,1534,27.2,66.4,29,22,0,regular,strongFoot,0,0.019666105508804
27,1,2,17/08/2024,AC Milan,Torino,25,AC Milan,2692,True,1741,Rafael Leão,851284,F,78,Vanja Milinković-Savić,77,Torino,1534,18.9,33.8,21,30,0,assisted,weakFoot,0,0.040052309632301
26,1,2,17/08/2024,AC Milan,Torino,30,Torino,2696,False,1534,Raoul Bellanova,826185,M,30,Mike Maignan,87,AC Milan,1741,4.5,64.4,10,65,0,assisted,head,0,0.033266838639975
25,1,2,17/08/2024,AC Milan,Torino,30,Torino,2696,False,1534,Malick Thiaw,1014286,D,47,Mike Maignan,87,AC Milan,1741,0.59999999999999,50.1,0,6,0,regular,strongFoot,1,
24,1,2,17/08/2024,AC Milan,Torino,38,Torino,2696,False,1534,Duván Zapata,38162,F,81,Mike Maignan,87,AC Milan,1741,7.2,42.4,8,35,1,corner,head,0,0.057157870382071
23,1,2,17/08/2024,AC Milan,Torino,41,AC Milan,2692,True,1741,Rafael Leão,851284,F,78,Vanja Milinković-Savić,77,Torino,1534,14.7,43.0,15,17,-1,fast-break,strongFoot,0,0.35828846693039
22,1,2,17/08/2024,AC Milan,Torino,44,Torino,2696,False,1534,Ivan Ilić,877371,M,71,Mike Maignan,87,AC Milan,1741,18.1,49.7,18,0,1,assisted,weakFoot,0,0.072013452649117
21,1,2,17/08/2024,AC Milan,Torino,45,AC Milan,2692,True,1741,Samuel Chukwueze,822470,F,73,Vanja Milinković-Savić,77,Torino,1534,26.6,52.1,26,3,-1,assisted,strongFoot,0,0.030810203403234
20,1,2,17/08/2024,AC Milan,Torino,45,AC Milan,2692,True,1741,Luka Jović,319129,F,78,Vanja Milinković-Savić,77,Torino,1534,9.2,50.0,9,0,-1,assisted,head,0,0.070071667432785
19,1,2,17/08/2024,AC Milan,Torino,48,AC Milan,2692,True,1741,Christian Pulišić,817957,F,81,Vanja Milinković-Savić,77,Torino,1534,2.7,72.1,15,79,-1,regular,strongFoot,0,0.30877694487572
18,1,2,17/08/2024,AC Milan,Torino,49,AC Milan,2692,True,1741,Christian Pulišić,817957,F,81,Vanja Milinković-Savić,77,Torino,1534,21.2,65.3,23,26,-1,assisted,weakFoot,0,0.031518291682005
17,1,2,17/08/2024,AC Milan,Torino,59,AC Milan,2692,True,1741,Samuel Chukwueze,822470,F,73,Vanja Milinković-Savić,77,Torino,1534,15.4,58.1,16,19,-1,assisted,strongFoot,0,0.058340236544609
16,1,2,17/08/2024,AC Milan,Torino,68,Torino,2696,False,1534,Duván Zapata,38162,F,81,Mike Maignan,87,AC Milan,1741,3.0,51.6,3,19,1,assisted,head,1,0.7243937253952
15,1,2,17/08/2024,AC Milan,Torino,72,AC Milan,2692,True,1741,Christian Pulišić,817957,F,81,Vanja Milinković-Savić,77,Torino,1534,11.6,53.4,11,11,-2,assisted,weakFoot,0,0.089013941586018
14,1,2,17/08/2024,AC Milan,Torino,73,AC Milan,2692,True,1741,Yunus Musah,983815,M,68,Vanja Milinković-Savić,77,Torino,1534,21.2,45.8,21,7,-2,regular,strongFoot,0,0.02129016444087
13,1,2,17/08/2024,AC Milan,Torino,74,AC Milan,2692,True,1741,Rafael Leão,851284,F,78,Vanja Milinković-Savić,77,Torino,1534,9.4,39.9,11,36,-2,assisted,head,0,0.023860409855843
12,1,2,17/08/2024,AC Milan,Torino,75,AC Milan,2692,True,1741,Yunus Musah,983815,M,68,Vanja Milinković-Savić,77,Torino,1534,14.5,71.6,20,45,-2,assisted,strongFoot,0,0.021328808739781
11,1,2,17/08/2024,AC Milan,Torino,76,AC Milan,2692,True,1741,Fikayo Tomori,788255,D,39,Vanja Milinković-Savić,77,Torino,1534,12.8,47.4,12,7,-2,corner,head,0,0.014854080043733
10,1,2,17/08/2024,AC Milan,Torino,78,Torino,2696,False,1534,Mërgim Vojvoda,798147,D,52,Mike Maignan,87,AC Milan,1741,22.8,75.0,28,36,2,assisted,strongFoot,0,0.023632070049644
9,1,2,17/08/2024,AC Milan,Torino,81,AC Milan,2692,True,1741,Rafael Leão,851284,F,78,Vanja Milinković-Savić,77,Torino,1534,12.9,34.6,16,39,-2,assisted,strongFoot,0,0.052755065262318
8,1,2,17/08/2024,AC Milan,Torino,81,AC Milan,2692,True,1741,Tijjani Reijnders,893549,M,74,Vanja Milinković-Savić,77,Torino,1534,21.3,29.9,25,32,-2,regular,strongFoot,0,0.019559491425753
7,1,2,17/08/2024,AC Milan,Torino,89,AC Milan,2692,True,1741,Yunus Musah,983815,M,68,Vanja Milinković-Savić,77,Torino,1534,25.0,54.3,25,6,-2,assisted,strongFoot,0,0.026261262595654
6,1,2,17/08/2024,AC Milan,Torino,89,AC Milan,2692,True,1741,Tijjani Reijnders,893549,M,74,Vanja Milinković-Savić,77,Torino,1534,18.7,70.7,23,36,-2,regular,strongFoot,0,0.022660970687866
5,1,2,17/08/2024,AC Milan,Torino,89,AC Milan,2692,True,1741,Álvaro Morata,125407,F,80,Vanja Milinković-Savić,77,Torino,1534,9.5,56.6,10,25,-2,regular,strongFoot,1,0.083012349903584
4,1,2,17/08/2024,AC Milan,Torino,90,AC Milan,2692,True,1741,Yunus Musah,983815,M,68,Vanja Milinković-Savić,77,Torino,1534,21.7,36.6,23,22,-1,corner,strongFoot,0,0.035806071013212
3,1,2,17/08/2024,AC Milan,Torino,90,AC Milan,2692,True,1741,Noah Okafor,865523,F,77,Vanja Milinković-Savić,77,Torino,1534,12.5,54.2,12,12,-1,assisted,strongFoot,1,0.21151675283909
2,1,2,17/08/2024,AC Milan,Torino,90,AC Milan,2692,True,1741,Theo Hernández,788027,D,76,Vanja Milinković-Savić,77,Torino,1534,13.6,62.3,15,31,0,set-piece,strongFoot,0,0.044834207743406
1,1,2,17/08/2024,AC Milan,Torino,90,AC Milan,2692,True,1741,Yunus Musah,983815,M,68,Vanja Milinković-Savić,77,Torino,1534,20.6,71.6,25,35,0,corner,strongFoot,0,0.017026800662279
0,1,2,17/08/2024,AC Milan,Torino,90,AC Milan,2692,True,1741,Tijjani Reijnders,893549,M,74,Vanja Milinković-Savić,77,Torino,1534,25.7,44.5,25,8,0,assisted,strongFoot,0,0.017736922949553
16,1,3,17/08/2024,Empoli,Monza,8,Monza,2729,False,1366,Daniel Maldini,970928,F,68,Devis Vásquez,68,Empoli,1366,20.0,61.3,21,21,0,assisted,strongFoot,0,0.028677750378847
15,1,3,17/08/2024,Empoli,Monza,11,Empoli,2705,True,1366,Sebastiano Esposito,965008,F,73,Semuel Pizzignacco,67,Monza,1366,15.8,72.0,21,43,0,fast-break,strongFoot,0,0.032707467675209
14,1,3,17/08/2024,Empoli,Monza,12,Empoli,2705,True,1366,Sebastiano Esposito,965008,F,73,Semuel Pizzignacco,67,Monza,1366,10.8,52.8,10,9,0,regular,strongFoot,0,0.09771852940321
13,1,3,17/08/2024,Empoli,Monza,21,Empoli,2705,True,1366,Youssef Maleh,849274,M,64,Semuel Pizzignacco,67,Monza,1366,21.8,55.4,22,9,0,regular,weakFoot,0,0.02919470705092
12,1,3,17/08/2024,Empoli,Monza,40,Empoli,2705,True,1366,Emmanuel Gyasi,541578,M,62,Semuel Pizzignacco,67,Monza,1366,12.9,68.5,18,44,0,regular,weakFoot,0,0.032565828412771
11,1,3,17/08/2024,Empoli,Monza,45,Empoli,2705,True,1366,Sebastiano Esposito,965008,F,73,Semuel Pizzignacco,67,Monza,1366,11.4,54.9,11,16,0,set-piece,head,0,0.026985971257091
10,1,3,17/08/2024,Empoli,Monza,47,Monza,2729,False,1366,Samuele Birindelli,856729,M,51,Devis Vásquez,68,Empoli,1366,10.7,73.8,19,56,0,corner,strongFoot,0,0.029676014557481
9,1,3,17/08/2024,Empoli,Monza,47,Monza,2729,False,1366,Andrea Petagna,295973,F,72,Devis Vásquez,68,Empoli,1366,8.1,64.2,12,50,0,corner,weakFoot,0,0.034832619130611
8,1,3,17/08/2024,Empoli,Monza,49,Empoli,2705,True,1366,Liam Henderson,287573,M,63,Semuel Pizzignacco,67,Monza,1366,28.0,32.4,30,23,0,set-piece,strongFoot,0,0.013804047368467
7,1,3,17/08/2024,Empoli,Monza,54,Empoli,2705,True,1366,Sebastiano Esposito,965008,F,73,Semuel Pizzignacco,67,Monza,1366,29.1,53.1,29,4,0,free-kick,strongFoot,0,0.034838028252125
6,1,3,17/08/2024,Empoli,Monza,55,Empoli,2705,True,1366,Ardian Ismajli,840414,D,30,Semuel Pizzignacco,67,Monza,1366,9.2,39.7,11,37,0,corner,head,0,0.012731084600091
5,1,3,17/08/2024,Empoli,Monza,56,Empoli,2705,True,1366,Mattia Viti,1009268,D,34,Semuel Pizzignacco,67,Monza,1366,7.9,49.1,7,4,0,corner,other,0,0.046838935464621
4,1,3,17/08/2024,Empoli,Monza,66,Monza,2729,False,1366,Andrea Petagna,295973,F,72,Devis Vásquez,68,Empoli,1366,11.8,34.9,15,41,0,assisted,strongFoot,0,0.039571523666382
3,1,3,17/08/2024,Empoli,Monza,74,Monza,2729,False,1366,Luca Caldirola,100565,D,41,Devis Vásquez,68,Empoli,1366,9.4,40.6,11,34,0,corner,strongFoot,0,0.17103758454323
2,1,3,17/08/2024,Empoli,Monza,76,Empoli,2705,True,1366,Lorenzo Colombo,930191,F,74,Semuel Pizzignacco,67,Monza,1366,11.8,64.2,15,39,0,assisted,strongFoot,0,0.080355480313301
1,1,3,17/08/2024,Empoli,Monza,86,Empoli,2705,True,1366,Ola Solbakken,920744,F,67,Semuel Pizzignacco,67,Monza,1366,2.7,67.5,12,77,0,assisted,strongFoot,0,0.058554876595736
0,1,3,17/08/2024,Empoli,Monza,90,Monza,2729,False,1366,Andrea Petagna,295973,F,72,Devis Vásquez,68,Empoli,1366,18.2,39.3,19,21,0,assisted,strongFoot,0,0.032030750066042
25,1,4,18/08/2024,Bologna,Udinese,8,Bologna,2685,True,1601,Riccardo Orsolini,793645,M,80,Maduka Okoye,74,Udinese,1438,8.2,66.0,13,52,0,assisted,strongFoot,0,0.098241560161114
24,1,4,18/08/2024,Bologna,Udinese,11,Bologna,2685,True,1601,Santiago Castro,1116577,F,71,Maduka Okoye,74,Udinese,1438,14.4,47.1,14,7,0,assisted,strongFoot,0,0.045864790678024
23,1,4,18/08/2024,Bologna,Udinese,15,Bologna,2685,True,1601,Nikola Moro,814882,M,72,Maduka Okoye,74,Udinese,1438,8.0,43.2,9,30,0,assisted,weakFoot,0,0.10357913374901
22,1,4,18/08/2024,Bologna,Udinese,23,Udinese,2695,False,1438,Martín Payero,895592,M,64,Łukasz Skorupski,79,Bologna,1601,7.7,52.9,7,14,0,corner,weakFoot,0,0.11409794539213
21,1,4,18/08/2024,Bologna,Udinese,31,Bologna,2685,True,1601,Dan Ndoye,944327,M,66,Maduka Okoye,74,Udinese,1438,14.7,47.9,14,5,0,fast-break,strongFoot,0,0.67663848400116
20,1,4,18/08/2024,Bologna,Udinese,41,Bologna,2685,True,1601,Riccardo Orsolini,793645,M,80,Maduka Okoye,74,Udinese,1438,11.4,69.5,17,49,0,assisted,strongFoot,0,0.038900073617697
19,1,4,18/08/2024,Bologna,Udinese,45,Bologna,2685,True,1601,Dan Ndoye,944327,M,66,Maduka Okoye,74,Udinese,1438,7.5,33.7,13,55,0,assisted,strongFoot,0,0.14079611003399
18,1,4,18/08/2024,Bologna,Udinese,47,Bologna,2685,True,1601,Dan Ndoye,944327,M,66,Maduka Okoye,74,Udinese,1438,13.7,29.9,19,44,0,regular,weakFoot,0,0.038350664079189
17,1,4,18/08/2024,Bologna,Udinese,47,Bologna,2685,True,1601,Riccardo Orsolini,793645,M,80,Maduka Okoye,74,Udinese,1438,8.6,67.5,14,54,0,corner,weakFoot,0,0.050724197179079
16,1,4,18/08/2024,Bologna,Udinese,48,Bologna,2685,True,1601,Santiago Castro,1116577,F,71,Maduka Okoye,74,Udinese,1438,13.0,57.9,14,22,0,corner,strongFoot,0,0.087735913693905
15,1,4,18/08/2024,Bologna,Udinese,48,Bologna,2685,True,1601,Giovanni Fabbian,1067204,M,72,Maduka Okoye,74,Udinese,1438,12.1,53.9,12,12,0,assisted,strongFoot,0,0.095988966524601
14,1,4,18/08/2024,Bologna,Udinese,49,Bologna,2685,True,1601,Santiago Castro,1116577,F,71,Maduka Okoye,74,Udinese,1438,27.4,29.1,30,27,0,regular,strongFoot,0,0.017263378947973
13,1,4,18/08/2024,Bologna,Udinese,51,Bologna,2685,True,1601,Sam Beukema,898815,D,54,Maduka Okoye,74,Udinese,1438,28.2,44.0,28,8,0,assisted,strongFoot,0,0.018626188859344
12,1,4,18/08/2024,Bologna,Udinese,51,Bologna,2685,True,1601,Santiago Castro,1116577,F,71,Maduka Okoye,74,Udinese,1438,12.4,44.8,12,15,0,assisted,strongFoot,0,0.18070520460606
10,1,4,18/08/2024,Bologna,Udinese,53,Bologna,2685,True,1601,Dan Ndoye,944327,M,66,Maduka Okoye,74,Udinese,1438,2.5,44.3,4,57,0,regular,head,0,0.24933362007141
11,1,4,18/08/2024,Bologna,Udinese,53,Bologna,2685,True,1601,Riccardo Orsolini,793645,M,80,Maduka Okoye,74,Udinese,1438,7.7,53.0,7,14,0,assisted,strongFoot,0,0.36912682652473
9,1,4,18/08/2024,Bologna,Udinese,55,Bologna,2685,True,1601,Nikola Moro,814882,M,72,Maduka Okoye,74,Udinese,1438,18.2,54.6,18,9,0,corner,weakFoot,0,0.04300095513463
8,1,4,18/08/2024,Bologna,Udinese,57,Bologna,2685,True,1601,Riccardo Orsolini,793645,M,80,Maduka Okoye,74,Udinese,1438,11.5,50.0,11,0,0,penalty,strongFoot,1,0.7884
