round,game_index,date,home_team,away_team,minute,team,teamId,isHome,eloTeam,player,playerId,position,rating,keeper,keeperRating,opponent,eloOpponent,x,y,distance,angle,goal_difference,situation,body_part,goal,xg
1,0,17/08/2024,Genoa,Inter,7,Inter,2697,False,1929,Marcus Thuram,791702,F,80,Pierluigi Gollini,76,Genoa,1444,15.0,42.7,15,18,0,fast-break,strongFoot,0,0.084229491651058
1,0,17/08/2024,Genoa,Inter,12,Inter,2697,False,1929,Yann Bisseck,906275,D,53,Pierluigi Gollini,76,Genoa,1444,10.2,45.2,10,17,0,corner,head,0,0.029343703761697
1,0,17/08/2024,Genoa,Inter,15,Inter,2697,False,1929,Hakan Çalhanoğlu,135700,M,80,Pierluigi Gollini,76,Genoa,1444,23.7,32.3,26,26,0,assisted,strongFoot,0,0.020883893594146
1,0,17/08/2024,Genoa,Inter,18,Genoa,2713,True,1444,Vitinha,1093695,F,74,Yann Sommer,87,Inter,1929,14.7,41.9,15,20,0,assisted,strongFoot,0,0.097954474389553
1,0,17/08/2024,Genoa,Inter,20,Genoa,2713,True,1444,Mattia Bani,250547,D,19,Yann Sommer,87,Inter,1929,13.8,52.9,13,8,0,set-piece,head,0,0.012957536615431
1,0,17/08/2024,Genoa,Inter,20,Genoa,2713,True,1444,Alessandro Vogliacco,807295,D,35,Yann Sommer,87,Inter,1929,3.6,50.1,3,1,0,set-piece,strongFoot,1,0.69364845752716
1,0,17/08/2024,Genoa,Inter,30,Inter,2697,False,1929,Marcus Thuram,791702,F,80,Pierluigi Gollini,76,Genoa,1444,8.1,53.0,8,14,-1,assisted,head,1,0.087449349462986
1,0,17/08/2024,Genoa,Inter,31,Inter,2697,False,1929,Marcus Thuram,791702,F,80,Pierluigi Gollini,76,Genoa,1444,9.4,71.1,17,56,0,assisted,strongFoot,0,0.041109126061201
1,0,17/08/2024,Genoa,Inter,40,Inter,2697,False,1929,Yann Bisseck,906275,D,53,Pierluigi Gollini,76,Genoa,1444,8.8,61.7,11,42,0,regular,strongFoot,0,0.11743884533644
1,0,17/08/2024,Genoa,Inter,40,Inter,2697,False,1929,Lautaro Martínez,823984,F,88,Pierluigi Gollini,76,Genoa,1444,7.1,51.1,7,6,0,regular,strongFoot,0,0.32135167717934
1,0,17/08/2024,Genoa,Inter,40,Inter,2697,False,1929,Federico Dimarco,284361,M,76,Pierluigi Gollini,76,Genoa,1444,7.9,33.4,13,55,0,regular,strongFoot,0,0.16042383015156
1,0,17/08/2024,Genoa,Inter,40,Inter,2697,False,1929,Yann Bisseck,906275,D,53,Pierluigi Gollini,76,Genoa,1444,8.3,47.0,8,13,0,corner,head,0,0.069950848817825
1,0,17/08/2024,Genoa,Inter,50,Genoa,2713,True,1444,Milan Badelj,39482,M,61,Yann Sommer,87,Inter,1929,11.8,44.9,12,16,0,assisted,weakFoot,0,0.14115506410599
1,0,17/08/2024,Genoa,Inter,59,Inter,2697,False,1929,Marcus Thuram,791702,F,80,Pierluigi Gollini,76,Genoa,1444,7.9,62.5,11,47,0,regular,strongFoot,0,0.079329453408718
1,0,17/08/2024,Genoa,Inter,62,Genoa,2713,True,1444,Morten Frendrup,918440,M,58,Yann Sommer,87,Inter,1929,28.5,64.8,30,19,0,regular,strongFoot,0,0.023243030533195
1,0,17/08/2024,Genoa,Inter,63,Inter,2697,False,1929,Henrikh Mkhitaryan,37151,M,78,Pierluigi Gollini,76,Genoa,1444,18.5,42.6,19,15,0,assisted,strongFoot,0,0.074646286666393
1,0,17/08/2024,Genoa,Inter,64,Genoa,2713,True,1444,Ruslan Malinovskyi,195850,M,79,Yann Sommer,87,Inter,1929,27.4,60.5,28,14,0,set-piece,strongFoot,0,0.0080036791041493
1,0,17/08/2024,Genoa,Inter,68,Inter,2697,False,1929,Federico Dimarco,284361,M,76,Pierluigi Gollini,76,Genoa,1444,5.1,32.8,12,66,0,assisted,strongFoot,0,0.032025653868914
1,0,17/08/2024,Genoa,Inter,72,Inter,2697,False,1929,Nicolò Barella,363856,M,77,Pierluigi Gollini,76,Genoa,1444,20.3,66.8,23,29,0,regular,strongFoot,0,0.013666692189872
1,0,17/08/2024,Genoa,Inter,74,Inter,2697,False,1929,Federico Dimarco,284361,M,76,Pierluigi Gollini,76,Genoa,1444,20.4,65.8,23,27,0,free-kick,strongFoot,0,0.070550978183746
1,0,17/08/2024,Genoa,Inter,75,Inter,2697,False,1929,Davide Frattesi,835600,M,74,Pierluigi Gollini,76,Genoa,1444,8.7,46.7,8,14,0,corner,head,0,0.057781748473644
1,0,17/08/2024,Genoa,Inter,79,Genoa,2713,True,1444,Stefano Sabelli,184421,M,38,Yann Sommer,87,Inter,1929,12.5,77.1,22,55,0,set-piece,strongFoot,0,0.01209444180131
1,0,17/08/2024,Genoa,Inter,80,Genoa,2713,True,1444,Junior Messias,888219,F,72,Yann Sommer,87,Inter,1929,23.9,50.7,23,1,0,assisted,strongFoot,0,0.025550317019224
1,0,17/08/2024,Genoa,Inter,81,Genoa,2713,True,1444,Vitinha,1093695,F,74,Yann Sommer,87,Inter,1929,11.9,33.6,16,43,0,regular,strongFoot,0,0.051234807819128
1,0,17/08/2024,Genoa,Inter,83,Inter,2697,False,1929,Marcus Thuram,791702,F,80,Pierluigi Gollini,76,Genoa,1444,8.6,55.5,9,23,0,assisted,strongFoot,1,0.47240719199181
