,round,game_index,date,home_team,away_team,minute,team,teamId,isHome,eloTeam,player,playerId,position,rating,keeper,keeperRating,opponent,eloOpponent,x,y,distance,angle,goal_difference,situation,body_part,goal,xg
20,1,0,19/09/2020,Fiorentina,Torino,4,Fiorentina,2693,True,1476,Giacomo Bonaventura,36784,M,76,Salvatore Sirigu,84,Torino,1453,20.7,70.7,25,34,0,set-piece,strongFoot,0,
19,1,0,19/09/2020,Fiorentina,Torino,6,Fiorentina,2693,True,1476,Alfred Duncan,232224,M,62,Salvatore Sirigu,84,Torino,1453,23.1,48.2,23,3,0,assisted,strongFoot,0,
18,1,0,19/09/2020,Fiorentina,Torino,18,Fiorentina,2693,True,1476,Christian Kouamé,812946,F,70,Salvatore Sirigu,84,Torino,1453,5.3,50.9,5,6,0,assisted,head,0,
17,1,0,19/09/2020,Fiorentina,Torino,22,Torino,2696,False,1453,Álex Berenguer,592012,M,71,Bartłomiej Drągowski,75,Fiorentina,1476,10.7,44.3,11,19,0,assisted,weakFoot,0,
16,1,0,19/09/2020,Fiorentina,Torino,22,Torino,2696,False,1453,Simone Zaza,48077,F,77,Bartłomiej Drągowski,75,Fiorentina,1476,18.3,55.5,18,11,0,regular,strongFoot,0,
15,1,0,19/09/2020,Fiorentina,Torino,43,Fiorentina,2693,True,1476,Christian Kouamé,812946,F,70,Salvatore Sirigu,84,Torino,1453,4.8,49.0,4,8,0,set-piece,head,0,
14,1,0,19/09/2020,Fiorentina,Torino,45,Torino,2696,False,1453,Andrea Belotti,220223,F,81,Bartłomiej Drągowski,75,Fiorentina,1476,20.3,29.5,24,34,0,free-kick,strongFoot,0,
13,1,0,19/09/2020,Fiorentina,Torino,45,Torino,2696,False,1453,Andrea Belotti,220223,F,81,Bartłomiej Drągowski,75,Fiorentina,1476,19.2,29.7,23,35,0,set-piece,strongFoot,0,
12,1,0,19/09/2020,Fiorentina,Torino,45,Torino,2696,False,1453,Bremer,885197,D,35,Bartłomiej Drągowski,75,Fiorentina,1476,9.6,52.4,9,9,0,set-piece,head,0,
11,1,0,19/09/2020,Fiorentina,Torino,45,Fiorentina,2693,True,1476,Christian Kouamé,812946,F,70,Salvatore Sirigu,84,Torino,1453,5.4,49.8,5,1,0,assisted,head,0,
