player,fotmobName
Alvaro Medran Just,Alvaro Medran
Pedro Leon Sanchez Gil,Pedro Leon
Robert Ibanez Castro,Robert Ibanez
Alvaro Vazquez Garcia,Alvaro Vazquez
Alfred John Momar N''Diaye,Alfred N'Diaye
Moises Gomez Bordonado,Moi Gomez
Denis Suarez Fernandez,Denis Suarez
Lucas Vazquez Iglesias,Lucas Vazquez
Roberto Roman Triguero,Tito
Sergio Gontan Gallardo,Keko Gontan
Daniel Alves da Silva,Dani Alves
Ismael Lopez Blanco,Isma Lopez
Fabio Ricardo Gomes Fonseca,Fabio Espinho
Pedro Taunausu Dominguez Placeres,Tana
Jeronimo Figueroa Cabrera,Momo
Bruno Gonzalez Cabrera,Bruno Gonzalez
Daniel Arnaud N''Di	,Dani Ndi
Jorge Mere Perez,Jorge Mere
Alvaro Vadillo Cifuentes,Alvaro Vadillo
Willian Jose da Silva,Willian Jose
Josep Sene Escudero,Josep Sene
Gerard Pique Bernabeu,Gerard Pique
German Alejandro Pezzella,German Pezzella
Juan Torres Ruiz,Cala
Kleper Laveran Lima Ferreira,Pepe
Jose Maria Gimenez de Vargas,Jose Gimenez
Nicolas Ladislao Fedor Flores,Miku
Fabian Ruiz Pena,Fabian Ruiz
Adrian Marin Gomez,Adrian Marin
Hector Hernandez Ortega,Hector Hernandez
Jose Ignacio Peleteiro Ramallo,Jota
Alvaro Gonzalez Soberon,Alvaro Gonzalez
Jon Ansotegi Gorostola,Ion Ansotegui
Alvaro Daniel Pereira Barragan,Alvaro Pereira
Jonhatan Montiel Caballero,Jonathan Montiel
Francisco Jose Perdomo Borges,Nili
Mauricio Lemos Merladet,Paolo Lemos
Aderllan Leandro de Jesus Santos,Aderlan Santos
Angel Montoro Sanchez,Angel Montoro
Sebastian Carlos Cristoforo Pepe,Sebastian Cristoforo
Laureano Sanabria Ruiz,Laure
Francisco Jose Sanchez Rodriguez,Curro Sanchez
Georges-Kevin Nkoudou Mbida,Georges N'Koudou
Ismael Tiemoko Diomande,Ismael Diomande
Raphael Adelino Jose Guerreiro,Raphael Guerreiro
Edinson Roberto Cavani Gomez,Edinson Cavani
Cheick Tidiane Diabate,Cheick Diabate
Theoson Jordan Siebatcheu,Jordan Pefok
Giovanni-Guy Yann Sio,Giovanni Sio
Angel Fabian Di Maria Hernandez,Angel Di Maria
Wergiton do Rosario Calmon,Somalia
Edson Andre Sitoe,Mexer
Fabio Henrique Tavares,Fabinho
Marcos Paulo Mesquita Lopes,Rony Lopes
Fabio Alexandre da Silva Coentrao,Fabio Coentrao
Andre-Frank Zambo Anguissa,Andre Anguissa
Alexis Alegue Elandi,Abdoulaye Toure
Romain Genevois,Paul Baysse
Wilfried Moimbe,Abdoulaye Toure
Helder Wander Sousa Azevedo Costa,Helder Costa
Vagner Silva de Souza,Vagner Love
Kylian Mbappe Lottin,Kylian Mbappe
Jacques-Alaixys Romao,Jacques Alaixys Romao
Michael Jordan Nkololo,Jordan N'Kololo
Marcos Aoas Correa,Marquinhos
Stefan Daniel Radu,Stefan Radu
Paul-Jose M''Poku Ebunge,Paul-José Mpoku
Juan Ignacio Gomez Taleb,Juanito Gómez
Josef Alexander Martinez Mencia,Josef Martínez
Gonzalo Gerardo Higuain,Gonzalo Higuaín
Jose Maria Callejon Bueno,José Callejón
Duvan Esteban Zapata Banguera,Duván Zapata
Alejandro Dario Gomez,Papu Gómez
Mario Rui Silva Duarte,Mário Rui
Tomas Eduardo Rincon Hernandez,Tomás Rincón
Edgar Osvaldo Barreto Caceres,Édgar Barreto
David Lopez Silva,David López
Fredy Alejandro Guarin Vasquez,Fredy Guarín
Carlos Joaquin Correa,Joaquín Correa
Matias Vecino Falero,Matías Vecino
Raul Albiol i Tortajada,Raúl Albiol
German Gustavo Denis,Germán Denis
Nicolas Ignacio Castillo Mora,Nicolás Castillo
Matias Ariel Fernandez Fernandez,Matías Fernández
Joan Verdu Fernandez,Joan Verdú
Gaston Alexis Silva Perdomo,Gastón Silva
Uros Durdevic,Uroš Đurđević
