id,foot
862223,BothFeet
45923,RightFoot
78893,LeftFoot
105905,RightFoot
575852,RightFoot
1111640,RightFoot
959003,BothFeet
870211,RightFoot
1084730,RightFoot
829570,LeftFoot
965264,RightFoot
1618563,RightFoot
983601,LeftFoot
1142692,LeftFoot
831290,RightFoot
1923599,LeftFoot
558320,LeftFoot
1152386,RightFoot
1526932,RightFoot
1530727,LeftFoot
1423452,RightFoot
1643838,RightFoot
807295,RightFoot
295973,LeftFoot
882004,RightFoot
823733,LeftFoot
988037,LeftFoot
284363,LeftFoot
126236,RightFoot
989276,LeftFoot
826003,BothFeet
43905,RightFoot
822471,RightFoot
138605,BothFeet
796443,RightFoot
946985,RightFoot
915812,BothFeet
836168,RightFoot
357598,RightFoot
233252,RightFoot
36784,RightFoot
901325,LeftFoot
318967,RightFoot
27982,RightFoot
791566,LeftFoot
149606,RightFoot
912786,RightFoot
38162,RightFoot
825861,RightFoot
803033,LeftFoot
320979,RightFoot
856065,LeftFoot
111416,RightFoot
152276,RightFoot
980624,LeftFoot
553686,RightFoot
983059,RightFoot
845386,RightFoot
802665,BothFeet
569556,LeftFoot
589620,RightFoot
928796,BothFeet
39070,LeftFoot
917007,RightFoot
280087,RightFoot
971005,RightFoot
580512,RightFoot
67769,LeftFoot
831677,RightFoot
847467,RightFoot
232224,LeftFoot
250737,LeftFoot
124992,RightFoot
862697,RightFoot
794338,RightFoot
839909,BothFeet
897594,LeftFoot
984926,LeftFoot
960080,BothFeet
976401,RightFoot
913401,RightFoot
965014,LeftFoot
928814,RightFoot
927030,RightFoot
148899,RightFoot
1105138,RightFoot
1092409,LeftFoot
1082406,LeftFoot
119242,RightFoot
792308,RightFoot
1086992,LeftFoot
794927,RightFoot
804909,RightFoot
992912,LeftFoot
835601,RightFoot
100570,RightFoot
845802,RightFoot
944899,RightFoot
377512,RightFoot
99546,LeftFoot
844480,RightFoot
188405,LeftFoot
934409,RightFoot
933263,RightFoot
792311,LeftFoot
875295,LeftFoot
109461,RightFoot
1012248,LeftFoot
1143547,RightFoot
870263,LeftFoot
856062,RightFoot
848185,RightFoot
148566,LeftFoot
934238,RightFoot
826185,RightFoot
152420,RightFoot
844292,RightFoot
356352,RightFoot
359640,RightFoot
943595,RightFoot
846081,RightFoot
318657,RightFoot
1431516,RightFoot
1064080,RightFoot
97410,RightFoot
1137366,RightFoot
1001828,RightFoot
122701,BothFeet
98003,RightFoot
946006,RightFoot
170887,LeftFoot
997103,RightFoot
978562,RightFoot
795541,RightFoot
103156,RightFoot
150998,BothFeet
1087316,RightFoot
190319,RightFoot
804621,RightFoot
25522,RightFoot
1015287,LeftFoot
1032022,LeftFoot
352802,RightFoot
822163,RightFoot
34221,LeftFoot
363792,RightFoot
295133,BothFeet
1137730,RightFoot
1164381,LeftFoot
111487,RightFoot
921789,RightFoot
324353,LeftFoot
158235,RightFoot
954888,RightFoot
170499,RightFoot
385330,LeftFoot
1214992,RightFoot
305278,RightFoot
1100207,RightFoot
360396,RightFoot
27569,RightFoot
963211,RightFoot
796673,BothFeet
957602,LeftFoot
1099371,RightFoot
224456,RightFoot
1176744,BothFeet
190405,RightFoot
892924,RightFoot
84854,LeftFoot
1069244,RightFoot
970938,RightFoot
1050692,RightFoot
139228,RightFoot
357756,RightFoot
576438,LeftFoot
982615,BothFeet
233856,RightFoot
1017392,RightFoot
928777,RightFoot
891346,LeftFoot
790817,RightFoot
879746,RightFoot
945798,RightFoot
286087,RightFoot
979593,RightFoot
802034,RightFoot
46799,RightFoot
1019892,RightFoot
862373,RightFoot
973290,RightFoot
846441,LeftFoot
1154617,LeftFoot
967722,RightFoot
41234,RightFoot
929631,LeftFoot
835485,BothFeet
96372,RightFoot
11621,RightFoot
842364,RightFoot
851222,RightFoot
796658,RightFoot
842158,LeftFoot
108800,BothFeet
55119,RightFoot
152910,RightFoot
978285,RightFoot
541464,BothFeet
126989,RightFoot
847025,RightFoot
973300,LeftFoot
758664,RightFoot
916680,RightFoot
331447,RightFoot
158573,RightFoot
804901,BothFeet
972886,LeftFoot
931290,LeftFoot
227082,RightFoot
580638,LeftFoot
22126,RightFoot
149659,LeftFoot
47741,RightFoot
385320,RightFoot
587962,LeftFoot
937324,BothFeet
30027,LeftFoot
138152,RightFoot
987489,RightFoot
983572,LeftFoot
918482,LeftFoot
818440,LeftFoot
892673,RightFoot
888219,LeftFoot
844234,RightFoot
871765,RightFoot
1008111,RightFoot
828971,RightFoot
877371,LeftFoot
917048,BothFeet
827473,LeftFoot
830667,RightFoot
787642,RightFoot
46798,RightFoot
929199,LeftFoot
81827,RightFoot
165735,RightFoot
802138,LeftFoot
889785,LeftFoot
812314,RightFoot
316170,RightFoot
800417,RightFoot
888949,RightFoot
44241,LeftFoot
960441,LeftFoot
965330,RightFoot
830551,LeftFoot
367056,RightFoot
138165,RightFoot
6557,LeftFoot
139267,BothFeet
69367,BothFeet
